# RTK ground truth trajectory (2D only, Z=0)
# Transformations applied:
#   1. Zero at origin (first measurement at 0,0)
#   2. Timestamps normalized to start at 0
#   3. Z coordinate set to 0 (2D trajectory)
# Original origin: (484992.14, 4418835.23)
# Format: t x y z qx qy qz qw
14.999221802 0.051389052 -0.067528616 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
15.198789597 0.047625797 -0.054952839 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
15.399225235 0.047812639 -0.056651837 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
15.599476099 0.047678205 -0.047212603 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
15.799334288 0.050642558 -0.037859114 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
15.999313593 0.056011922 -0.032568356 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
16.199219942 0.059440892 -0.027788075 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
16.398416758 0.060412607 -0.017423991 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
16.598588943 0.059426855 -0.012690948 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
16.799241304 0.063058551 -0.010159071 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
16.998970032 0.062142780 -0.001269707 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
17.198462486 0.063627813 -0.004520684 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
17.398865223 0.062391154 0.003186927 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
17.599335670 0.060797860 0.009897478 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
17.798838615 0.060896079 0.014661959 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
17.999266863 0.061715659 0.017844764 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
18.199061155 0.061482258 0.026550269 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
18.398463964 0.056409917 0.036634721 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
18.598325253 0.048229776 0.049432147 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
18.798886061 0.038711271 0.064088101 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
18.998989344 0.028218452 0.077714010 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
19.198757172 0.018304098 0.091334061 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
19.398700953 0.004740923 0.103235230 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
19.599409580 -0.008497482 0.111102139 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
19.798271656 -0.027135656 0.116871737 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
19.999230146 -0.040745022 0.120557352 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
20.199197769 -0.056136096 0.119744557 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
20.398808479 -0.070821711 0.118416051 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
20.599296331 -0.089382316 0.115413094 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
20.798940897 -0.101124484 0.110331209 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
20.998702526 -0.117117002 0.103589913 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
21.198669672 -0.125704489 0.094770465 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
21.398522139 -0.135511630 0.082285780 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
